"PID","Name_Prefix","Name_Given","Name_Middle","Name_Sur","Name_Suffix","Sex","Race","Height","Weight","HairColor","EyeColor","DOB","Birth_Country","Address_StreetNumber","Address_StreetName","Address_StreetSuffix","Address_StreetUnit","Probation","Custody","Gang","Parole","Dead","Caution"
2,NA,"XAHDZINOJ","EVXENFNAST","LNWDCIHVD","","M","W",603,190,"Brown","Hazel","1/27/44","United States","1015","ORUNMCK","BLVD","2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,NA,"FOVWHZPD","SNCHITFBBX","JIJJXBZWY","","M","W",603,195,"Gray","Brown","3/25/51","United States of America (the)","7840","ZRFAMZC","Rd","104",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
225,NA,"PYHCJFTDP","ECCWXVOCAR","XCUTAL","","M","W",600,195,"Black","Brown","10/2/51","United States","1004","JHCSEQCGY","WAY","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
246,NA,"JVAWTOD","DSSZSXMIS","EPPADSZQP","","M","W",603,235,"Brown","Blue","2/12/52","United States of America (the)","8665","PBBNJF","Rd","179",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
337,NA,"CHVAPQKF","KHDQGCAI","CHJPN","","M","B",509,220,"Black","Brown","8/20/53","United States of America (the)","841","UDLFLORI","Ct","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
389,NA,"SFJMOMRA","QYBCJRNG","TVTJEEH","","M","W",507,175,"Blonde","Hazel","5/8/52","United States of America (the)","11345","EGDZJONN","Cir","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
572,NA,"NKMAQSPCVX","ZTPQ","HUIYXGFZ","","F","B",506,110,"Black","Brown","8/15/52","United States of America (the)","225","UTGNNWOWN","Dr","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
574,NA,"ANSPHEUS","RNGJAQUC","XVMHZW","","M","B",509,235,"Black","Brown","11/19/53","United States of America (the)","","YLZYKB","","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
622,NA,"EDIQBUOVN","XYHOTVZKS","GHLYPWEMO","","M","B",511,180,"Black","Brown","12/11/51","United States of America (the)","3819","VMEXVEM","St","",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
640,NA,"NRNFFAFTL","DBEACIVA","GFVJYAYR","","M","B",506,195,"Black","Brown","4/26/49","United States","96","CVQATCVL","AVE","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
704,NA,"ROATHRNOI","QJUUB","YFCOKJ","","M","W",509,125,"Brown","Brown","11/27/48","United States of America (the)","4942","HGJGHTQD","Ln","8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
716,NA,"NIHGHUP","ODGECB","UZWUHUOX","","M","W",504,140,"Blonde","Blue","10/5/52","United States of America (the)","1400","SXKTXTK","St","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
728,NA,"EMSUIKWZ","FFWSSO","YVAPQOQ","","M","W",600,185,"Brown","Brown","10/7/53","United States","4639","JVALSDNFS","AVE","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
772,NA,"WUISDMDI","UTIPJBK","CMXGGEJZ","","M","W",511,195,"Brown","Brown","11/16/53","United States of America (the)","","IPGOCNH","","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
774,NA,"APDKCVHA","ETKQNDXPD","WOWGNQLE","","M","H",510,185,"Black","Black","4/15/53","United States of America (the)","2504","GSMJLVNUM","Ave","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
793,NA,"GTZPCHSZ","LWGFOADERN","VLTXMZKWJ","","M","W",600,190,"Brown","Brown","11/24/50","United States","7809","CXIWVBT","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
980,NA,"JQURSBTGM","RFIT","EIXDFBT","","M","W",506,150,"Black","Blue","1/20/54","United States of America (the)","1524","JDFOZUP","St","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1130,NA,"PGFTRKOZ","XMIJSGS","AZAWSNFJW","","M","H",509,175,"Black","Brown","2/3/55","United States","6103","IMQUGC","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1142,NA,"OGYWDEAX","PGWEGLTTGU","GAKMGXVN","","M","H",509,155,"Black","Brown","8/13/54","United States of America (the)","651","AGAIEWYXX","St","",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1346,NA,"ELFQUEA","LYNQWTCD","YDVDYHDTX","","M","B",602,206,"Black","Brown","11/23/54","United States of America (the)","4","YIHMZ","St","212",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1568,NA,"HZRKFITRH","UKPQOCQR","PODKUNQ","","M","W",510,145,"Brown","Brown","3/8/56","United States of America (the)","6816","RNGIDLKZF","St","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1815,NA,"DENFGYA","DKRJNGGDUS","AZSWTSE","","M","W",508,170,"Brown","Blue","1/17/55","United States","34","JDXDBB","DR","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1856,NA,"MCKZXJTG","KWMTNBJ","EYSDQAUNV","","M","W",511,194,"Brown","Green","4/5/60","United States","2934","ACLGBR","AVE","F7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025,NA,"CHIKWDKO","BKWIEWS","PEWJJAHS","","M","W",509,215,"Brown","Blue","10/14/56","United States of America (the)","1243","YMICXAETD","Ave","12",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2030,NA,"THYVIPDTKM","YKCWQWUJ","GFZIPW","","M","H",510,180,"Brown","Brown","11/17/58","United States","","WWEJZRXN","","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2256,NA,"STCTJYQI","GVFRTTOT","IKWDFV","","M","W",509,180,"Brown","Brown","12/18/56","United States","4315","NXRUKQN","WAY","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2258,NA,"ZEPJ","NEBZWXZX","QEHRPDPP","","F","W",505,175,"Brown","Green","3/5/57","United States","1220","GOESMSGOM","AVE","8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2261,NA,"VCCIFYHID","TEHGEERN","UUXQIMGX","","M","W",509,145,"Brown","Hazel","10/14/60","United States","8127","XWUHFDEBK","AVE","1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2387,NA,"SYAHIESJM","IFETGSIBM","BOXIYYZGOT","","M","W",507,170,"Brown","Brown","5/6/57","United States of America (the)","","QUSGRY","","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2524,NA,"SPUSZP","YDHUICGRMO","OMSHBVVR","","M","H",503,130,"Black","Brown","6/12/56","United States","741","BSLFCLA","AVE","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2588,NA,"DEFLOP","RZRQHRYAM","WBYZRZVGTO","","M","W",508,175,"Brown","Blue","8/30/57","United States of America (the)","8881","AXEYXBKHQ","Rd","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2670,NA,"RSVLXGD","RIWFGVCA","OGGHZWGP","","F","W",504,130,"Brown","Hazel","10/2/48","United States of America (the)","5401","VKQOEFWHR","Way","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
